domain,tags,category,description,is_active
github.com,"[""development"",""code"",""git"",""repository""]",development,GitHub - Code repository hosting,True
gitlab.com,"[""development"",""code"",""git"",""repository""]",development,GitLab - DevOps platform,True
bitbucket.org,"[""development"",""code"",""git"",""repository""]",development,Bitbucket - Git repository hosting,True
stackoverflow.com,"[""programming"",""help"",""q&a"",""development""]",development,Stack Overflow - Programming Q&A,True
stackexchange.com,"[""programming"",""help"",""q&a"",""development""]",development,Stack Exchange - Q&A network,True
dev.to,"[""development"",""blog"",""programming""]",development,DEV Community - Developer blog platform,True
hashnode.com,"[""development"",""blog"",""programming""]",development,Hashnode - Developer blogging platform,True
codepen.io,"[""development"",""demo"",""frontend""]",development,CodePen - Frontend development playground,True
jsfiddle.net,"[""development"",""demo"",""javascript""]",development,JSFiddle - JavaScript playground,True
codesandbox.io,"[""development"",""demo"",""react"",""vue""]",development,CodeSandbox - Online IDE,True
replit.com,"[""development"",""ide"",""programming""]",development,Replit - Online coding environment,True
glitch.com,"[""development"",""demo"",""web""]",development,Glitch - Web app development platform,True
npmjs.com,"[""javascript"",""package"",""development""]",development,npm - JavaScript package registry,True
yarnpkg.com,"[""javascript"",""package"",""development""]",development,Yarn - JavaScript package manager,True
pypi.org,"[""python"",""package"",""development""]",development,PyPI - Python package index,True
crates.io,"[""rust"",""package"",""development""]",development,Crates.io - Rust package registry,True
packagist.org,"[""php"",""package"",""development""]",development,Packagist - PHP package repository,True
rubygems.org,"[""ruby"",""package"",""development""]",development,RubyGems - Ruby package manager,True
mvnrepository.com,"[""java"",""package"",""development""]",development,Maven Repository - Java packages,True
developer.mozilla.org,"[""documentation"",""web"",""development""]",documentation,MDN Developer Network,True
docs.microsoft.com,"[""documentation"",""microsoft"",""development""]",documentation,Microsoft Developer Documentation,True
docs.aws.amazon.com,"[""documentation"",""aws"",""cloud""]",documentation,AWS Documentation,True
docs.azure.com,"[""documentation"",""azure"",""cloud""]",documentation,Azure Documentation,True
w3schools.com,"[""tutorial"",""web"",""development""]",education,W3Schools - Web development tutorials,True
coursera.org,"[""education"",""course"",""learning""]",education,Coursera - Online courses,True
udemy.com,"[""education"",""course"",""learning""]",education,Udemy - Online learning platform,True
edx.org,"[""education"",""course"",""learning""]",education,edX - Online courses,True
khanacademy.org,"[""education"",""learning"",""free""]",education,Khan Academy - Free online learning,True
freecodecamp.org,"[""education"",""programming"",""free""]",education,freeCodeCamp - Free programming education,True
codecademy.com,"[""education"",""programming"",""interactive""]",education,Codecademy - Interactive programming courses,True
pluralsight.com,"[""education"",""technology"",""learning""]",education,Pluralsight - Technology learning platform,True
udacity.com,"[""education"",""programming"",""nanodegree""]",education,Udacity - Technology education,True
news.ycombinator.com,"[""tech"",""news"",""startup""]",news,Hacker News - Tech news and discussion,True
techcrunch.com,"[""tech"",""news"",""startup""]",news,TechCrunch - Technology news,True
arstechnica.com,"[""tech"",""news""]",news,Ars Technica - Technology news,True
theverge.com,"[""tech"",""news"",""culture""]",news,The Verge - Technology and culture,True
wired.com,"[""tech"",""news"",""culture""]",news,Wired - Technology and culture magazine,True
substack.com,"[""newsletter"",""writing"",""subscription""]",media,Substack - Newsletter platform,True
wikipedia.org,"[""reference"",""encyclopedia"",""knowledge""]",reference,Wikipedia - Free encyclopedia,True
wikimedia.org,"[""reference"",""encyclopedia"",""knowledge""]",reference,Wikimedia Foundation,True
britannica.com,"[""reference"",""encyclopedia"",""knowledge""]",reference,Encyclopedia Britannica,True
dictionary.com,"[""reference"",""dictionary"",""language""]",reference,Dictionary.com - Online dictionary,True
merriam-webster.com,"[""reference"",""dictionary"",""language""]",reference,Merriam-Webster - Dictionary,True
youtube.com,"[""video"",""entertainment"",""media""]",media,YouTube - Video sharing platform,True
vimeo.com,"[""video"",""creative"",""media""]",media,Vimeo - Video hosting platform,True
twitch.tv,"[""video"",""gaming"",""streaming""]",media,Twitch - Live streaming platform,True
netflix.com,"[""video"",""entertainment"",""streaming""]",media,Netflix - Streaming service,True
reddit.com,"[""social"",""community"",""discussion""]",social,Reddit - Social news aggregation,True
x.com,"[""social"",""microblog""]",social,X (formerly Twitter),True
twitter.com,"[""social"",""microblog""]",social,Twitter - Microblogging platform,True
linkedin.com,"[""professional"",""networking"",""career""]",social,LinkedIn - Professional networking,True
facebook.com,"[""social"",""networking""]",social,Facebook - Social networking,True
instagram.com,"[""social"",""photo"",""visual""]",social,Instagram - Photo sharing,True
tiktok.com,"[""social"",""video"",""short-form""]",social,TikTok - Short-form video,True
dribbble.com,"[""design"",""ui"",""portfolio""]",design,Dribbble - Design portfolio platform,True
behance.net,"[""design"",""portfolio"",""creative""]",design,Behance - Creative portfolio platform,True
figma.com,"[""design"",""ui"",""tool"",""collaboration""]",design,Figma - Collaborative design tool,True
sketch.com,"[""design"",""ui"",""tool""]",design,Sketch - Digital design tool,True
adobe.com,"[""design"",""creative"",""software""]",design,Adobe - Creative software suite,True
canva.com,"[""design"",""graphics"",""tool""]",design,Canva - Graphic design platform,True
unsplash.com,"[""photos"",""stock"",""images""]",design,Unsplash - Free stock photos,True
pexels.com,"[""photos"",""stock"",""images""]",design,Pexels - Free stock photos,True
fonts.google.com,"[""fonts"",""typography"",""design""]",design,Google Fonts - Web fonts,True
notion.so,"[""productivity"",""notes"",""tool""]",productivity,Notion - All-in-one workspace,True
trello.com,"[""productivity"",""project-management"",""tool""]",productivity,Trello - Project management,True
asana.com,"[""productivity"",""project-management"",""tool""]",productivity,Asana - Work management,True
slack.com,"[""productivity"",""communication"",""tool""]",productivity,Slack - Team communication,True
discord.com,"[""communication"",""gaming"",""community""]",productivity,Discord - Voice and text chat,True
zoom.us,"[""communication"",""video"",""meeting""]",productivity,Zoom - Video conferencing,True
meet.google.com,"[""communication"",""video"",""meeting""]",productivity,Google Meet - Video conferencing,True
google.com,"[""search"",""tool""]",search,Google - Search engine,True
docs.google.com,"[""document"",""collaboration"",""productivity""]",productivity,Google Docs - Online document editor,True
sheets.google.com,"[""spreadsheet"",""data"",""productivity""]",productivity,Google Sheets - Online spreadsheet,True
slides.google.com,"[""presentation"",""slides"",""productivity""]",productivity,Google Slides - Online presentation,True
drive.google.com,"[""storage"",""file-sharing"",""productivity""]",productivity,Google Drive - Cloud storage,True
